"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
885,1.759,1.172,0.879,0.293,728247480065982080,40846232.899,1633849.316,0.046,41.694,41.288,41.001,0.045
886,1.759,1.172,0.879,0.293,761519950321475584,41663157.557,1666526.302,0.046,41.739,41.333,41.045,0.045
887,1.759,1.172,0.879,0.293,796312580926705664,42496420.708,1699856.828,0.046,41.784,41.378,41.09,0.045
888,1.759,1.172,0.879,0.293,832694825116843520,43346349.122,1733853.965,0.046,41.828,41.423,41.135,0.045
889,1.759,1.172,0.879,0.293,870739309306287104,44213276.105,1768531.044,0.046,41.873,41.467,41.18,0.045
890,1.759,1.172,0.879,0.293,910521978064625536,45097541.627,1803901.665,0.046,41.918,41.512,41.224,0.045
891,1.759,1.172,0.879,0.293,952122245716245760,45999492.459,1839979.698,0.046,41.962,41.557,41.269,0.045
892,1.759,1.172,0.879,0.293,995623154866201216,46919482.308,1876779.292,0.046,42.007,41.601,41.314,0.045
893,1.759,1.172,0.879,0.293,1041111542168788864,47857871.955,1914314.878,0.046,42.052,41.646,41.358,0.045
894,1.759,1.172,0.879,0.293,1088678211669737088,48815029.394,1952601.176,0.046,42.096,41.691,41.403,0.045
895,1.759,1.172,0.879,0.293,1138418116068027136,49791329.981,1991653.199,0.046,42.141,41.735,41.448,0.045
896,1.759,1.172,0.879,0.293,1190430546259178496,50787156.581,2031486.263,0.046,42.186,41.78,41.492,0.045
897,1.759,1.172,0.879,0.293,1244819329538360576,51802899.713,2072115.989,0.046,42.23,41.825,41.537,0.045
898,1.759,1.172,0.879,0.293,1301693036858978304,52838957.707,2113558.308,0.046,42.275,41.869,41.582,0.045
899,1.759,1.172,0.879,0.293,1361165199560457216,53895736.861,2155829.474,0.046,42.32,41.914,41.626,0.045
900,1.759,1.172,0.879,0.293,1423354535997855488,54973651.598,2198946.064,0.046,42.364,41.959,41.671,0.045
901,1.759,1.172,0.879,0.293,1488385188525694720,56073124.63,2242924.985,0.046,42.409,42.003,41.716,0.045
902,1.759,1.172,0.879,0.293,1556386971309070592,57194587.123,2287783.485,0.046,42.454,42.048,41.76,0.045
903,1.759,1.172,0.879,0.293,1627495629456720384,58338478.865,2333539.155,0.046,42.499,42.093,41.805,0.045
904,1.759,1.172,0.879,0.293,1701853109993320192,59505248.443,2380209.938,0.046,42.543,42.137,41.85,0.045
905,1.759,1.172,0.879,0.293,1779607845211921920,60695353.412,2427814.136,0.046,42.588,42.182,41.894,0.045
906,1.759,1.172,0.879,0.293,1860915048972150016,61909260.48,2476370.419,0.046,42.633,42.227,41.939,0.045
907,1.759,1.172,0.879,0.293,1945937026535623680,63147445.689,2525897.828,0.046,42.677,42.271,41.984,0.045
908,1.759,1.172,0.879,0.293,2034843498557086976,64410394.603,2576415.784,0.046,42.722,42.316,42.028,0.045
909,1.759,1.172,0.879,0.293,2127811939877993728,65698602.495,2627944.1,0.046,42.767,42.361,42.073,0.045
910,1.759,1.172,0.879,0.293,2225027933798836992,67012574.545,2680502.982,0.046,42.811,42.405,42.118,0.045
911,1.759,1.172,0.879,0.293,2326685542537412096,68352826.036,2734113.041,0.046,42.856,42.45,42.162,0.045
912,1.759,1.172,0.879,0.293,2432987694612514304,69719882.557,2788795.302,0.046,42.901,42.495,42.207,0.045
913,1.759,1.172,0.879,0.293,2544146589926356992,71114280.208,2844571.208,0.046,42.945,42.539,42.252,0.045
914,1.759,1.172,0.879,0.293,2660384123354323968,72536565.812,2901462.632,0.046,42.99,42.584,42.296,0.045
915,1.759,1.172,0.879,0.293,2781932327687619072,73987297.128,2959491.885,0.046,43.035,42.629,42.341,0.045
916,1.759,1.172,0.879,0.293,2.909033836813e+18,75467043.071,3018681.723,0.046,43.079,42.673,42.386,0.045
917,1.759,1.172,0.879,0.293,3041942370054176256,76976383.932,3079055.357,0.046,43.124,42.718,42.43,0.045
918,1.759,1.172,0.879,0.293,3180923238641741824,78515911.611,3140636.464,0.046,43.169,42.763,42.475,0.045
919,1.759,1.172,0.879,0.293,3326253875322570240,80086229.843,3203449.194,0.046,43.213,42.807,42.52,0.045
920,1.759,1.172,0.879,0.293,3478224388165941760,81687954.44,3267518.178,0.046,43.258,42.852,42.564,0.045
921,1.759,1.172,0.879,0.293,3637138139671850496,83321713.529,3332868.541,0.046,43.303,42.897,42.609,0.045
922,1.759,1.172,0.879,0.293,3803312352337506304,84988147.799,3399525.912,0.046,43.347,42.941,42.654,0.045
923,1.759,1.172,0.879,0.293,3977078741890848256,86687910.755,3467516.43,0.046,43.392,42.986,42.698,0.045
924,1.759,1.172,0.879,0.293,4158784179455111680,88421668.97,3536866.759,0.046,43.437,43.031,42.743,0.045
925,1.759,1.172,0.879,0.293,4348791383966246400,90190102.35,3607604.094,0.046,43.481,43.076,42.788,0.045
926,1.759,1.172,0.879,0.293,4547479646225369088,91993904.397,3679756.176,0.046,43.526,43.12,42.832,0.045
927,1.759,1.172,0.879,0.293,4755245586031588352,93833782.485,3753351.299,0.046,43.571,43.165,42.877,0.045
928,1.759,1.172,0.879,0.293,4972503943906568192,95710458.134,3828418.325,0.046,43.615,43.21,42.922,0.045
929,1.759,1.172,0.879,0.293,5199688408991249408,97624667.297,3904986.692,0.046,43.66,43.254,42.967,0.045
930,1.759,1.172,0.879,0.293,5437252484767357952,99577160.643,3983086.426,0.046,43.705,43.299,43.011,0.045
