t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g,k
146,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6.11984E+13,6.11984E+13,31.7451424,31.7451424,31.31435949,0.223143551,6.11984E+13
147,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7.6498E+13,7.6498E+13,31.96828595,31.96828595,31.53750304,0.223143551,7.6498E+13
148,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,9.56225E+13,9.56225E+13,32.19142951,32.19142951,31.76064659,0.223143551,9.56225E+13
149,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.19528E+14,1.19528E+14,32.41457306,32.41457306,31.98379014,0.223143551,1.19528E+14
150,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.4941E+14,1.4941E+14,32.63771661,32.63771661,32.20693369,0.223143551,1.4941E+14
151,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.86763E+14,1.86763E+14,32.86086016,32.86086016,32.43007724,0.223143551,1.86763E+14
152,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.33453E+14,2.33453E+14,33.08400371,33.08400371,32.65322079,0.223143551,2.33453E+14
153,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.91817E+14,2.91817E+14,33.30714726,33.30714726,32.87636435,0.223143551,2.91817E+14
154,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.64771E+14,3.64771E+14,33.53029081,33.53029081,33.0995079,0.223143551,3.64771E+14
155,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.55964E+14,4.55964E+14,33.75343436,33.75343436,33.32265145,0.223143551,4.55964E+14
156,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.69955E+14,5.69955E+14,33.97657792,33.97657792,33.545795,0.223143551,5.69955E+14
157,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7.12443E+14,7.12443E+14,34.19972147,34.19972147,33.76893855,0.223143551,7.12443E+14
158,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8.90554E+14,8.90554E+14,34.42286502,34.42286502,33.9920821,0.223143551,8.90554E+14
159,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.11319E+15,1.11319E+15,34.64600857,34.64600857,34.21522565,0.223143551,1.11319E+15
160,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.39149E+15,1.39149E+15,34.86915212,34.86915212,34.4383692,0.223143551,1.39149E+15
161,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,1.73936E+15,1.73936E+15,35.09229567,35.09229567,34.66151276,0.223143551,1.73936E+15
162,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.1742E+15,2.1742E+15,35.31543922,35.31543922,34.88465631,0.223143551,2.1742E+15
163,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,2.71776E+15,2.71776E+15,35.53858277,35.53858277,35.10779986,0.223143551,2.71776E+15
164,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,3.39719E+15,3.39719E+15,35.76172633,35.76172633,35.33094341,0.223143551,3.39719E+15
165,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.24649E+15,4.24649E+15,35.98486988,35.98486988,35.55408696,0.223143551,4.24649E+15
166,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.30812E+15,5.30812E+15,36.20801343,36.20801343,35.77723051,0.223143551,5.30812E+15
167,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6.63515E+15,6.63515E+15,36.43115698,36.43115698,36.00037406,0.223143551,6.63515E+15
168,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,8.29393E+15,8.29393E+15,36.65430053,36.65430053,36.22351762,0.223143551,8.29393E+15
